,index,log_slope_val,slope_val,log_slope_pval,log_rsq_adj,rsq,slope_pval,int_pval,rsq_adj,log_int_val,int_val,log_rsq,log_int_pval,subj_id
67,(wfpt.3),0.14585270341226028,0.14194743580898794,0.0,0.010056399115870196,0.012638049909921345,0.0,0.0,0.0126333481415708,1.0810205682085297,0.47202011134886435,0.010061113155465096,0.0,s011
68,(wfpt.30),0.004974744338988219,0.006360372044608608,0.09911074845126244,8.189586271800664e-06,2.7684986706466574e-05,0.015900370444923203,0.0,2.292316842722464e-05,1.2646170854491556,0.565903188206357,1.2951474711364597e-05,0.0,s093
69,(wfpt.31),0.014594130342403703,0.009866452980582797,3.741667896984392e-16,0.0003336041538192225,0.00014316601861963374,1.1747874673243815e-07,0.0,0.00013806465618759756,1.1763984935950753,0.3577963785298404,0.00033870675750480306,0.0,s094
70,(wfpt.32),-0.004240862543758699,-0.004198396946008816,0.16309821924587248,4.501318696781276e-06,1.1658669536673827e-05,0.11765179640358962,0.0,6.896774940923223e-06,1.2695124360418435,0.5518225783634714,9.263224699518346e-06,0.0,s097
71,(wfpt.33),-0.003724452259432593,-0.0026298018490881364,0.07488710694756393,1.034574050129411e-05,9.125213886185257e-06,0.16626723797980492,0.0,4.363307226196156e-06,1.2241260251431036,0.4111020063764801,1.510777740876268e-05,0.0,s098
72,(wfpt.34),0.1339199288088015,0.13571381077605926,0.0,0.017554591464224112,0.020170496695711027,0.0,0.0,0.020165819660592277,1.1226834436042723,0.5720794841706652,0.01755928096349879,0.0,s103
73,(wfpt.35),0.032647382065882566,0.028420336015625595,1.3985276601088004e-33,0.0006961736998709611,0.000819733283779156,5.548184117939081e-39,0.0,0.0008149294863064593,1.2131296807824903,0.5087112826525706,0.0007009780913856956,0.0,s106
74,(wfpt.36),-0.0007098757805167541,-0.00031110681793618125,0.8310243742189739,-4.545115953824563e-06,5.378613554540834e-08,0.9153620066776025,0.0,-4.7081637222223804e-06,1.2537228236207079,0.5080741270282969,2.168331273422197e-07,0.0,s108
75,(wfpt.37),0.00611750570733601,0.005945352370222399,0.01336957617958346,2.44954115363738e-05,3.241193396807951e-05,0.009248892862318807,0.0,2.7627354268422444e-05,1.2377643116031267,0.4942415607861651,2.9280006221488186e-05,0.0,s110
76,(wfpt.38),-0.000274311983303693,0.0005109747261273314,0.9175597380682228,-4.710930587625839e-06,1.962283028289491e-07,0.8391380020243762,0.0,-4.565720876481549e-06,1.2358444572629887,0.45277310787080177,5.1019283131559234e-08,0.0,s111
77,(wfpt.39),0.012634745860520635,0.012679385103237482,2.0696522804701604e-06,0.00010300684015174255,0.00011921217078003643,5.98668704832389e-07,0.0,0.0001144280063964942,1.2262993828355924,0.47352232154082285,0.00010779105918223841,0.0,s112
78,(wfpt.4),0.0002303709130327819,2.0756572037508754e-06,0.9247793289441713,-4.776362674929757e-06,3.84481335657938e-12,0.9992872506426287,0.0,-4.819319714854942e-06,1.2484023527310821,0.507379559147224,4.2960677903991495e-08,0.0,s012
79,(wfpt.40),0.00012065280721435066,-0.0016209519086528372,0.9625992625865929,-4.751501782918055e-06,2.6781882135340496e-06,0.4532894049033106,0.0,-2.083749146786218e-06,1.2561455444336516,0.5306398834115321,1.0470957212405096e-08,0.0,s121
80,(wfpt.41),0.013467921017272079,0.014988057472383364,6.460330766371125e-09,0.00015868288413301013,0.0002305767575725426,5.489987669307568e-12,0.0,0.00022572346082583294,1.2141409985918359,0.4368904997706472,0.00016353650632106032,0.0,s128
81,(wfpt.42),-0.004238697263457453,-0.0032211686067038347,0.10691715055125953,7.615359264301347e-06,8.969116310542091e-06,0.16993683166267634,0.0,4.207208907258675e-06,1.274089295964802,0.5603067755274356,1.2377250438233567e-05,0.0,s129
82,(wfpt.43),-0.006229462162886319,-0.007891625188063103,0.02514718068412312,1.9204481143675345e-05,4.690097864046283e-05,0.0017428264088661586,0.0,4.2116468267017204e-05,1.2602998533539043,0.5229984070347613,2.3989101144317182e-05,0.0,s142
83,(wfpt.44),0.0049674026615219805,0.007020912711652874,0.03946348314538742,1.5580875649012782e-05,4.42778724654147e-05,0.0024071106723140582,0.0,3.947034680584771e-05,1.2489629584077995,0.5256497304721917,2.0388516162261894e-05,0.0,s145
84,(wfpt.45),-0.0074701197031927374,-0.005673572930861723,0.02513772219211641,1.9116132400354147e-05,1.832209409358132e-05,0.04981635973711665,0.0,1.3560231228670894e-05,1.2870594333410446,0.5939938755136436,2.3877968808427852e-05,0.0,s149
85,(wfpt.46),0.0022112669042814994,0.0039413978316076405,0.5119452256802437,-2.7138746867549912e-06,8.237304188862815e-06,0.188433834353225,0.0,3.475393300700347e-06,1.2316568050496164,0.43922673962176495,2.048065674165045e-06,0.0,s161
86,(wfpt.47),0.01363408569074452,0.01140746959178875,6.467206855165181e-06,9.971127318186834e-05,0.00010051735468152856,1.0054199782482152e-05,0.0,9.536318050129555e-05,1.2378311476886,0.522097010658882,0.00010486542494914097,0.0,s163
87,(wfpt.48),-0.0027271994719964346,-0.002367202526965778,0.27413869585119105,9.329850274575335e-07,4.505267677035185e-06,0.3307147455494224,0.0,-2.5666098291132755e-07,1.23976828894406,0.45902077776425426,5.694908022380041e-06,0.0,s165
88,(wfpt.49),-0.0037556568136908816,-0.003481079368832054,0.18965809662618305,3.4796319262619946e-06,8.250357952377385e-06,0.19126969154883017,0.0,3.4194332592107912e-06,1.2669818527796375,0.5484154932907805,8.310556328661178e-06,0.0,s168
89,(wfpt.5),0.004407720451920106,0.0037984979445910465,0.15896718745541835,4.800185119280265e-06,9.893876424471593e-06,0.15440033778548992,0.0,5.015828316023985e-06,1.2594609249737445,0.5524218065220012,9.678234279664188e-06,0.0,s014
90,(wfpt.50),0.0028349414235019858,0.0032642707272744244,0.21595895441863547,2.5653802139258275e-06,1.032569665071481e-05,0.14374491856657595,0.0,5.494781983417241e-06,1.2121863186584259,0.4064127335063863,7.396309033014248e-06,0.0,s170
91,(wfpt.51),0.00752569752555427,0.007207309208750204,0.005625994493668011,3.182021404135593e-05,3.8028429005354525e-05,0.0047637502230872064,0.0,3.3255295268652674e-05,1.2475478739212211,0.5253718239941241,3.6593354628133845e-05,0.0,s173
92,(wfpt.52),0.01813434688609967,0.019780072926031077,5.110551179785013e-09,0.00015858678331759357,0.00028751157971784735,9.025728240317275e-15,0.0,0.00028272822060237957,1.2649375414935256,0.6204971628698785,0.0001633707364141479,0.0,s179
93,(wfpt.53),0.0025249388867430063,0.0012686577754245426,0.38216102004557895,-1.1250449674093943e-06,1.1877175295493814e-06,0.61748527875561,0.0,-3.5742269284266825e-06,1.2634265908820848,0.5589949112297192,3.636887827673796e-06,0.0,s180
94,(wfpt.54),0.009130180587295388,0.009005812221525925,0.00014528317166584718,6.396242440909194e-05,7.147420165054541e-05,0.00010694637629175575,0.0,6.671259189339196e-05,1.255909444284934,0.548908340301619,6.87240472624362e-05,0.0,s182
95,(wfpt.55),0.003607327303431135,0.006485389479184151,0.16932836972755536,4.253076149374202e-06,3.223155155718249e-05,0.00944638867548296,0.0,2.7446970994438047e-05,1.2439563338686908,0.4954546621041033,9.037767688235832e-06,0.0,s184
96,(wfpt.56),0.005957808673496077,0.00691352101307239,0.026810272034887162,1.9812905269200876e-05,4.148191358332998e-05,0.004254190743105897,0.0,3.6405930486593796e-05,1.2826298759043004,0.6701697177425354,2.4889152970164474e-05,0.0,s187
97,(wfpt.57),0.004255799599092024,0.00413897039694579,0.1307917657474696,6.1099895199978604e-06,1.2929883467682757e-05,0.09939272760675436,0.0,8.167994925312172e-06,1.2706246866975617,0.5828156820902606,1.0871887862418106e-05,0.0,s190
98,(wfpt.58),0.032059400437305555,0.03462512523227234,1.8372682483141386e-20,0.0004044885706646628,0.0005988165520399713,3.422114887964378e-29,0.0,0.0005940574534607501,1.1901147341865763,0.41270176853680884,0.0004092485719571215,0.0,s192
