,index,slope_val,slope_pval,rsq_adj,rsq,int_val,int_pval,log_int_val,log_rsq_adj,log_int_pval,log_slope_val,log_slope_pval,log_rsq,subj_id
76,(wfpt.31),0.03691732069072927,2.8284033055988177e-16,0.0013724497535523295,0.001393254927623433,0.5595815736661389,0.0,1.233234785406258,0.0008654271623576015,0.0,0.03249371889911473,6.867657226187879e-11,0.0008862428996194716,s094
77,(wfpt.32),0.06509856790652271,1.8140236023672945e-77,0.007184859142973177,0.007205543222659205,0.6287836603106842,0.0,1.213406268548452,0.0071692592926140275,0.0,0.06667684214790792,2.6477547172587277e-77,0.007189943697303747,s097
78,(wfpt.33),0.0015825922380204496,0.7277692815044527,-1.830965138416296e-05,2.5244974448668245e-06,0.6132448639318897,0.0,1.2835547824642393,-1.0759422290007592e-05,0.0,-0.0035881005423944318,0.48681573655857,1.0074569239293396e-05,s098
79,(wfpt.34),0.030093778073623907,8.509254039777145e-13,0.0010445297822427868,0.0010653417881223426,0.7131656169745005,0.0,1.2824712039567752,0.00058752562326847,0.0,0.025221463665410337,6.500930593566322e-08,0.000608347150266364,s103
80,(wfpt.35),0.08057165694822953,4.668531081649509e-77,0.007145863961794396,0.0071665488538970035,0.5564497236062488,0.0,1.1932135845482295,0.004319664045725813,0.0,0.0681022155838899,2.5326140639399096e-47,0.004340407818219982,s106
81,(wfpt.36),0.07074538826746099,2.1894128508489524e-92,0.00860120988080415,0.008621864452568406,0.6247031512566776,0.0,1.2060317848372557,0.008668471463867289,0.0,0.07253818422989577,4.28054769784776e-93,0.008689124634319367,s108
82,(wfpt.37),0.00587445237277559,0.18809162367777066,1.5261580682324194e-05,3.609503009616155e-05,0.4845294960976395,0.0,1.236234890882057,1.2878489773493484e-06,0.0,0.004763764121547935,0.3028066590558407,2.212158951664378e-05,s110
83,(wfpt.38),0.05249721905365944,2.9884858820314693e-32,0.0028870227614229416,0.002907796381232397,0.637624377950829,0.0,1.2444852832762106,0.0013924497474214759,0.0,0.040654765102592444,1.736964766042976e-16,0.0014132545048174405,s111
84,(wfpt.39),0.09222041894906444,6.747433007431863e-111,0.010356623584686808,0.010377241584570318,0.5812255970927205,0.0,1.1721516376132306,0.010390664259961047,0.0,0.09203626028484913,2.9506501250351503e-111,0.010411281550649076,s112
85,(wfpt.4),0.007607553662399831,0.08843674932783152,4.0056506273700165e-05,6.11087377627717e-05,0.6259332652876404,0.0,1.258983544211826,0.00011264365247276587,0.0,0.011565353308580573,0.011741798064912457,0.00013369878853275452,s012
86,(wfpt.40),-0.002152507044481904,0.6534904397845616,-1.7549474037981128e-05,4.429416695317379e-06,0.662332657852001,0.0,1.2780121184919042,-2.1952739495345597e-05,0.0,-0.0001671778832118432,0.9721804960203287,2.6731091007370367e-08,s121
87,(wfpt.41),0.06724120517826358,2.8725823725794614e-38,0.003458828534897207,0.003479590241838193,0.62977796808975,0.0,1.2413513547335375,0.0009128422458027918,0.0,0.04330299879471477,2.144514180359871e-11,0.0009336569952298479,s128
88,(wfpt.42),-0.004081060834619427,0.3664159023871998,-3.837619761526412e-06,1.699622756057284e-05,0.5884785367684284,0.0,1.2704028125534221,-9.694074518229456e-06,0.0,-0.0033763534743453455,0.46462955567192077,1.1141197047703777e-05,s129
89,(wfpt.43),0.10222766482022975,1.003871782650211e-105,0.009866356208280358,0.00988698442228042,0.5760495824040648,0.0,1.1691827265614367,0.005969408808441323,0.0,0.09395401612137792,1.1235036422145504e-64,0.0059901182105369655,s142
90,(wfpt.44),0.01928053958046464,7.638340529141842e-06,0.0004004954860408194,0.00042154012918105277,0.46433622816076037,0.0,1.1940198394659984,0.0009310711985421882,0.0,0.028186782283629964,1.743549362050969e-11,0.0009521068857616388,s145
91,(wfpt.45),-0.0015908766678276107,0.7482697093510895,-1.8688406555167347e-05,2.1457501648836086e-06,0.8247469499508803,0.0,1.3496126362852086,1.8949385146793674e-05,0.0,-0.009349114563709349,0.1670175990833119,3.9782757729756035e-05,s149
92,(wfpt.46),-0.007752197170276015,0.10270772580065346,3.501191557042649e-05,5.6064253263543584e-05,0.6678368991420494,0.0,1.2944237750206344,-2.816677331374251e-06,0.0,-0.005122443045781803,0.35200956299729047,1.8237343273663775e-05,s161
93,(wfpt.47),-0.0032812616816887373,0.49532516933234183,-1.1147332771965779e-05,9.686666839092695e-06,0.5968514739679913,0.0,1.2847686560172347,1.5082292906254402e-05,0.0,-0.00725989496304924,0.1891921900693922,3.59157460553261e-05,s163
94,(wfpt.48),0.01875080608759262,8.627102288892288e-05,0.0003034576528124777,0.00032450433889741337,0.7510082831195994,0.0,1.306757814230301,2.860042958852116e-05,0.0,0.008134278598324596,0.12461072999058506,4.965378873889037e-05,s165
95,(wfpt.49),0.04422569095285843,1.0579941202958204e-22,0.001980703738815204,0.002001496240664369,0.5657564657820573,0.0,1.2309166379928889,0.0010518457740882337,0.0,0.036243279712241006,7.114206582790773e-13,0.001072657627548157,s168
96,(wfpt.5),0.007070179281984501,0.23384460380222022,8.695068590136579e-06,2.952865480909672e-05,0.6107090687022486,0.0,1.293272483500148,1.486690608087926e-05,0.0,-0.009289008558387823,0.19052428531379215,3.570036371725038e-05,s014
97,(wfpt.50),0.025767640849213878,5.091564713602468e-10,0.0008006126305160066,0.0008218726442901225,0.5456108710394028,0.0,1.1922939118390585,0.002185094196216153,0.0,0.04144145645604512,2.3942863366495492e-24,0.0022063537020392543,s170
98,(wfpt.51),0.026348916556987078,1.1875917423057855e-10,0.0008431329663126652,0.0008639491680466627,0.580892310617233,0.0,1.251061083176067,0.0005227229541076017,0.0,0.02103598256610202,3.248674369513679e-07,0.0005435458311892072,s173
99,(wfpt.52),0.018627741517346287,0.00011582312041435403,0.00029175221934718554,0.0003127991518675488,0.5833942723150989,0.0,1.257751080202158,0.00011985203988795767,0.0,0.014123117361358363,0.009679260332314222,0.000140902591435621,s179
