,index,rsq_adj,slope_val,int_pval,log_slope_pval,log_int_pval,int_val,log_slope_val,slope_pval,log_int_val,log_rsq_adj,log_rsq,rsq,subj_id,sub_id
0,wfpt,1.4266132772000617e-05,-0.005431300985406551,0.0,0.13602975948344265,0.0,0.40956137694818695,-0.0056662623725993524,0.13752381839818448,1.2284685331286456,1.4465621580583843e-05,2.629990996705356e-05,2.6100423519359595e-05,0,s238
0,wfpt,-8.164256381615331e-06,0.0024345578407145192,0.0,0.5281195196212698,0.0,0.44128942008632976,0.003040422537690551,0.5801144333693338,1.2308125086706303,-7.082347300846337e-06,4.682580314163687e-06,3.6006839617686026e-06,0,s244
0,wfpt,2.3287643559521953e-05,0.005894448829916138,0.0,0.08293473295021997,0.0,0.4590449021949381,0.005917040080752903,0.08742376913944006,1.2340755026738286,2.4320959158274924e-05,3.6442023401916934e-05,3.540872032836706e-05,0,s254
0,wfpt,-7.669939369181478e-06,0.0020546492760602523,0.0,0.3288440283582492,0.0,0.6829828733534798,0.0032788596825314474,0.5382761281873596,1.2863922299617983,-5.746507680814972e-07,1.1771797465254252e-05,4.675986752689099e-06,0,s259
0,wfpt,-1.1591734391691588e-05,0.00047276813124117346,0.0,0.9010199059674052,0.0,0.6423484699760198,0.0005461032286208159,0.9034148654835208,1.2899548289779443,-1.1582991026992673e-05,1.8198953732895262e-07,1.7324627543668925e-07,0,s262
0,wfpt,2.705951133830098e-06,-0.004039970094074289,0.0,0.23547787251288638,0.0,0.37254100792985306,-0.0046906329545254866,0.2674094441751558,1.2102565758454378,4.793959754612054e-06,1.6558747646611138e-05,1.4470763590956892e-05,0,s265
0,wfpt,-1.1531304581868795e-05,0.0005047612743279855,0.0,0.772416471553527,0.0,0.5475617149475636,0.0010328078248124858,0.8879236724748978,1.2631024953112262,-1.0780876725124955e-05,9.840944023009612e-07,2.3367537427265717e-07,0,s269
0,wfpt,8.810273890991205e-06,-0.007423858223397212,0.0,0.2430168785062832,0.0,0.5207912804427042,-0.007408584096614469,0.18602227606984342,1.2661918871853008,4.270935216377225e-06,1.60357292616764e-05,2.0575014531676317e-05,0,s273
0,wfpt,-1.1484119163851503e-05,0.0006471065381980085,0.0,0.8678276501352793,0.0,0.41655193830318915,0.0006391567491201913,0.863368121427137,1.2237356041360785,-1.1506833417662676e-05,3.2776233882536587e-07,3.5047632374052284e-07,0,s275
0,wfpt,-7.08997389020638e-07,0.0021442037844748556,0.0,0.28765172367210934,0.0,0.4565467128598671,0.002403023957667602,0.33234851009678756,1.2371473610205694,1.5364140709683838e-06,1.3301240287533211e-05,1.1055855244412882e-05,0,s277
0,wfpt,3.196127252935721e-05,0.00797381251105556,0.0,0.10159956875037468,0.0,0.48801256971391005,0.007132732021302879,0.05387203462073797,1.2395795568264236,1.9768209936987802e-05,3.153282165924143e-05,4.3725740802136315e-05,0,s284
0,wfpt,-1.0613995746977523e-05,0.001123823514077196,0.0,0.7059489011433808,0.0,0.5677391464036915,0.001291428791749337,0.7544495226090518,1.2691535413486776,-1.0090125866168975e-05,1.6748371347574675e-06,1.150973417241019e-06,0,s285
0,wfpt,-9.690542477791553e-06,-0.0014621850020507814,0.0,0.6827438251429567,0.0,0.5599003886993796,-0.0014876394123330902,0.6745547395773042,1.2650010940000793,-9.799568188473273e-06,1.965391394187499e-06,2.074415822228559e-06,0,s286
